gdel,mp,mg,freq,pdel,gedel,ghigh,glow
0.04,-0.5031174909113652,0.024213143970006575,0.2,0.3415259872981852,0.012649110640673518,0.006324555320336759,0.014213143970006574
0.17,-0.7803071326294414,0.0966089613493205,0.3,0.7747580267412503,0.05375872022286245,0.03162277660168379,0.0866089613493205
0.10999999999999999,-1.230359385810561,0.09836064480806415,0.5,0.39528470752104766,0.03478505426185217,0.06008327554319921,0.08836064480806416
0.34000000000000014,-1.4007955619143149,0.22203847667082272,0.7,0.5312626469082881,0.10751744044572493,0.037947331922020544,0.2120384766708227
0.3100000000000001,-2.0697832989264704,0.3095774260090633,1.1,0.4110960958218896,0.09803060746521979,0.06957010852370436,0.2995774260090633
0.16,-2.0334855775256724,0.27505803290953895,1.3,0.1517893276880823,0.05059644256269407,0.044271887242357304,0.16
0.19000000000000003,-2.4108523948345173,0.3641480774338291,1.7,0.13597793938724037,0.06008327554319921,0.037947331922020544,0.19000000000000003
0.34000000000000014,-2.3880246267893486,0.4431549497116341,1.9,0.11700427342623008,0.10751744044572493,0.037947331922020544,0.34000000000000014
0.17,-2.5206342420915178,0.4106893009382513,2.3,0.06640783086353598,0.05375872022286245,0.037947331922020544,0.17
0.19000000000000003,-2.6709489076449238,0.392865230251291,2.9,0.15495160534825067,0.06008327554319921,0.044271887242357304,0.19000000000000003
0.15,-2.5444436973857045,0.37622009371984527,3.7,0.17076299364909256,0.04743416490252569,0.03478505426185217,0.15
0.12999999999999998,-2.4271283138432347,0.46775206483120213,4.3,0.13914021704740875,0.04110960958218892,0.04743416490252569,0.12999999999999998
0.24000000000000007,-2.642038670694194,0.754189047864458,5.3,0.1834121042897661,0.07589466384404113,0.14546477236774552,0.24000000000000007
0.4200000000000002,-2.806406367768693,0.7482611030258464,6.1,0.99345882657961,0.132815661727072,0.0790569415042095,0.4200000000000002
1.490000000000001,-3.1996072703800915,1.2947509581690955,7.9,0.99345882657961,0.47117937136508886,0.4110960958218896,1.2847509581690955
1.8700000000000014,-4.170226032804816,0.784704505480886,8.9,0.99345882657961,0.5913459224514873,0.373148763899869,0.774704505480886
2.0,-4.591467848162964,0.8367021860315171,11.3,0.99345882657961,0.6324555320336759,0.6324555320336759,0.8267021860315171
2.0,-8.739179412306846,1.788192090179189,13.7,0.99345882657961,0.6324555320336759,0.6324555320336759,1.778192090179189
