moth,mi,mf,l,w,c,st,ni,nf
091815_1,1.443,1.855,0.05725,0.00896,0.0258179867691758,0.001444,27.75,28
100515_2,1.651,2.083,0.0515,0.00896,0.0265689254425174,0.001486,25.5,26
102015_1,1.765,2.175,0.0535,0.01013,0.028969465648855,0.001518,25.5,26.25
102815_3,1.546,2.019,0.054,0.0094,0.0250408867890242,0.001378,24.75,25.8
021116_3,2.207,2.523,0.055,0.00987,0.0296901729709181,0.001562,24,24.5
080416_2,1.642,2.036,0.055,0.00926,0.0271368340360291,0.001416,25.5,26.5
080916_2,1.52,2.006,0.0545,0.01103,0.0271855611957135,0.001446,25.75,26.2
080916_5,1.457,1.799,0.053,0.01003,0.0260635226179018,0.001354,25.5,26
092116_2,1.744,2.141,0.05225,0.00994,0.0269078575466365,0.001428,25.9,26.6
111816_1,2.146,2.557,0.0525,0.009,0.0294736842105263,0.00168,25.5,25.75
